speaker_name,speaker_company
25th Congressional District,Florida-25
Aaron Grinhaus,Grinhaus Law Firm
Adam Cai,Virgo Group
Adam Garetson,Gowling WLG
Adriann Guy,CreateHER Fest
Alex Hochberger,Web3 Enabler
Alex Kosloff,"Board F Member, Blockchain Game Alliance"
Alexander Salnikov,Rarible
Alice Hou,Messari
Alice Shikova,Marketing Lead
Amanda Wick,Association for Women in Cryptocurrency
Ana Jacobson,Tangem
Andrea Crespi,Andrea Crespi Studio
Andrei Poliakov,APX Lending
Andrew Smith,"Formation Ai Labs, Inc."
Andrew Sobko,Argentum AI
Andrew Stone,Nexa: Bitcoin Unlimited
André Beganski,Decrypt
Anewbiz.,Secret Network
Angelé Doyne,Disruptor DAO
Anna.,ThreeSquared
Annelise Osborne,Author
Anthony Anzalone,XION
Anthony Rodriguez,Digital Spenders Club
Anthony Werner,Shiro Neko
Armita Jalooli,A16z
Arnaud Simeray,Dune
Art Malkov,Web3Lab
Asher Genoot,Hut 8
Ashley Wright,The Crypto Strategy Academy
Ashton Addison,Crypto Coin Show
Austin Baker,Doginal Dogs
Ben Goertzel,SingularityNet and ASI Alliance
Ben Grant,EVERY.MEME
Ben Thalman,Figment Inc.
Bette Hochberger,"Bette Hochberger, CPA, CGMA & Associates"
Betty Sharples,Truflation
Bria Han,Nexus F Labs
Brian J. Esposito,DiamondLake
Bryan Ferre,Optio Blockchain
CAMS,BlockQuake
Cade Bergman,WOLF Bitcoin
Carol Van Cleef,"Counsel, Lewis Baach Kaufmann Middlemiss"
Chairman Elijah John Bowdre,"Executive Director, Miami-Dade Digital Commission"
Chantelle Day,Collas Crill LLP
Charlene Wang,Zyphe
Charles Allen,BTCS Inc.
Charlotte Laborde,MoonPay
ChicaBTC.,Bitcoin Butik
Clara Tsao,Filecoin Foundation
Clare Adelgren,EY
Clark Alexander,Argentum AI
Dave Shallenberger,DAO UTAH
David Gallo,Pledge Protocol
David Wachsman,Wachsman
Dean Skurka,WonderFi
Dico Angelo,E11EVEN Miami
Diego Baez,Bloxcross Inc.
Diego Ojeda,Rilea Group
Dustin Robinson Esp. CPA,LumaLex Law
Dustin Stockton,Look
Dylan Dewdney,Kuvi.ai
Elena Sinelnikova,CryptoChicks & Metis
Elina Cohen,QuickNode
Emma Todd,MMH Technology Group
Erai Beckmann,Peace Through Trade Blockchain & PTT Coin
Eric Spivak,New Friendship Tech
Eric Trump,American Bitcoin
Erik LaPaglia,NextTech Ventures
Erik Mendelson,Avanti Way Realty
Evan Kuhn,DeLorean
Everton Fraga,Amazon Web Services
Fadjiah Collin-Mazile,CoinList
Florent Thévenin,Blockchain North
Francky Perez,QUANTUM TCG
Gabriel Sadoun,DigiShares
Garett Nell,Totem Grid
George Levy,Blockchain Institute of Technology
George Varghese F,OG Labs
Gianni D'Alerta,Purple Horizons: Marketing Innovation Lab
Graeme Moore,Project Eleven
Guillermo Gonzalez III,Apex
Haymond Rankin,Cayman Finance
Heather Hartinger,Mainsail Family Office Collective
Henryk Dabrowski,F3 Funds
Iggy Azalea,SMOTHER
Jacqueline Cooper,Blockchain Legal Institute
Jaime Leverton,ReserveOne
Jake Antifaev,Thrust
Jake Claver,Digital Ascension Group
James Slusser,Kurkuma
Jamie Roberts,Leeward
Jan Pachner,One Ocean Foundation
Janelle Chalouhi,Venusventures Inc.
Janet Adams,SingularityNet
Jaou Toure,Spree.Finance
Jason Brett,Ben Franklin Digital Reserve
Jason Leibowitz,Meanwhile
Jay Rogers,Infineo
Jeff,Chapo
Jenni Rogers,Shibwomen/Queens of Crypto
Jennifer Barnett,Oregon Blockchain Group
Jennifer Hughes,Crypto Kids!
Jerry Qian,OPTN Labs
Jessica Pegueros,InvestorBrandNetwork
Jesus Martinez,Legion
Jill Ford,Bitford Digital
John Lee,PriceDepth
John Sarson,Sarson Funds
Jonathan Morgan,Stocktwits
Jorrin F Bruns,Algorand Foundation
Josh Levy,"Mayor, Mayor of Hollywood, FL."
Juan Allen,OLAGG
Julie Lamb,NFT-VIP.io
Justin Barlow,Sei Development Foundation
Justin Custardo,W3BC Media
Justyna Osowska,Women in Blockchain Canada
Karen Hsu,Appdome
Katie Evans,Swarm
Keeyan Ravanshid,HODL Markets Inc
Keith A. Carswell,City of Maimi's Department of Economic Innovation & Development
Kelly Ann Collins,SheCrypto
Kenn Bosak,#NotAnotherBitcoinPodcast
Kevin Boeve,Palladium Network
King Ant,Doginal Dogs
Kishelle Blaize-Cameron,BVI Financial Services Commission
Kyle Kempler,RAZE
Kyle Klemmer,Blockstreet
Lana Schwartzman,Notabene
Laura Leparulo,Blockchain Futurist Conference
Lauren Dutton,Fhenix
Lee Skinner,Tangem
Leggett,Assure DeFi
Lennon Sweeting,RYKI Ltd.
Lin Dai,Spree.Finance
Lincoln B.,Rhythm
Lisa Loud,Secret Network
Logan Golema,Heir.es
Luca Schnetzler,Pudgy Penguins
Lucia Gallardo,AeraTech
Mahyar Akhbari,Blockchain Futurist Conference
Marcos Nunes,Tangem Pay
Maria Lobanova,Interstellar Digital
Mario Yaksetig,Parfin
Maro Vardanyan,Quantum Block Holdings
Matt Nicosia,Trusted Smart Chain
Max Avery,Digital Ascension Group
Michael Ros,Sleap.io
Mike Ho,American Bitcoin
Mostafa Al-Mashita,SDM
Mr Lightspeed,"Lightspeed Crypto Services, LLC"
My Name is Mudd,K9 Finance
N3on.,N3on Media
Natalia Garcia,Natcrypto Realty
Nicole Murphy,eToro
Nikita Sachdev,Luna Media Corporation
Nina Knox,$RSOL Movement Meme
Oliver Maroney,OpenSea
Patrick Delaney,Ampli
Pavan Agarwal,Angel Ai
Peace Through Trade II Blockchain,PTT COIN
Peter von Irle,Sullivan Hart LLP
Pia Pascal,InOrbyt
Pixie Paula Dezzutti,Striped Pig Distillery
Ralph F Quintero,Purple Horizons: Marketing Innovation Lab
Reed Baum,Sarson Funds
Representative Webster Barnaby,Florida House of Representatives
Rhonda Eldridge,Harness All Possibilities
Richard Ells,Electroneum
Rohan Handa,Mysten Labs
Rok Kopp,ether.fi
Rosalyn Brown,Berkshire Hathaway HS
Roshan Robert,OKX
Russell Castagnaro,SporkDAO and ETHDenver
Ryan Pacht,NoIDPay Inc.
Sam Barberie,Sequence
Sam Bourgi,Cointelegraph
Sam Drissi,Artizyou + BIPQUANTUM
Sam Lieberman,Sadis & Goldberg LLP
Sami Start,Transak
Sandro F Gonzalez,KWARXS
Scarlett Arana,BitBasel
Scott Meadows,Coinbase
Scott Spiegel,BitBasel
Sep Alavi,White Star Capital
Shaela Rae,Collas Crill LLP
Shan Aggarwal,Coinbase
Shane Cook,Pulse Digital Marketing
Shaw Walters,Eliza Labs
Sidney Powell,Maple Finance
Stella Martirosian,AML Incubator
Sumit Arya,SpearTrades
Sydney Csuk,Spaces Host
Tity Lyngdoh,Dolphinze
Todd Shapiro,Red Light Holland
Tom Bilyeu,Impact Theory
Tony Bravado,NFTCLT
Tony Evans,CETI
Tory Ricalis,Titl
Toufi Saliba,HyperCycle.ai
Trevor Koverko,Sapien
Tristan Thompson,basketball.fun
Warren Calove,Go Arlo
Wasim Ahmad,Vault12
Wesley Crook,FP Block
William Quigley,Tether and WAX
Yaeunda Pou Williams,GeniusRoom
Yolanda.,Coinbase
Zach Humphries,ZH Media
Zachary Nelson,Genzio Media
Zoé Fox,Phala Cloud
ia Tyler Spalding,Acronym Foundation
